ExtFP72	ExtFP127	ExtFP144	ExtFP169	ExtFP292	ExtFP342	ExtFP376	ExtFP440	ExtFP479	ExtFP512	ExtFP781	ExtFP966	ExtFP978	ExtFP991	PubchemFP582	PubchemFP700	KRFP228	KRFP1407	AD2D391	AD2D564	LogGut	Training-Test	Names
0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	-0.26	Training	5-ethyl-5-ethyl barbituric acid
1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	-0.14	Training	5-propyl-5-ethyl barbituric acid
1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0.00	Training	5-butyl-5-ethyl barbituric acid
1	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0.14	Training	5-hexyl-5-ethyl barbituric acid
1	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0.12	Training	5-heptyl-5-ethyl barbituric acid
1	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0.18	Training	5-octyl-5-ethyl barbituric acid
1	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	-0.85	Training	Cefazolin
1	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	-0.39	Training	Ceftazidime
1	1	1	1	0	0	1	1	0	0	1	0	0	0	1	0	0	1	1	0	0.18	Training	Hexobarbital
1	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	1	0	-0.01	Training	Penicillin V
1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0	0.26	Training	Phenobarbital
1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0.24	Training	Phenytoin
1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0.11	Training	Thiopental
0	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	1.96	Training	Acebutolol-S
0	0	1	0	1	1	0	0	0	0	1	0	1	0	1	0	0	0	1	0	-0.06	Training	Alfentanil
1	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	1	0	1	0	1.58	Training	Betaxolol-S
0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	1	0	1.08	Training	Biperiden
1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0	1.41	Training	Bisoprolol-S
0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0.29	Training	Chlordiazepoxide
0	1	0	1	0	0	0	1	0	0	1	0	1	0	1	0	0	0	1	0	0.84	Training	Cocaine
1	0	0	1	0	0	0	1	0	0	1	0	0	1	1	0	0	0	1	0	-0.24	Training	Cotinine
0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0.71	Training	Diazepam
