ExtFP27	ExtFP56	ExtFP76	ExtFP108	ExtFP128	ExtFP131	ExtFP134	ExtFP167	ExtFP171	ExtFP194	ExtFP217	ExtFP243	ExtFP281	ExtFP284	ExtFP298	ExtFP302	ExtFP329	ExtFP335	ExtFP351	ExtFP352	ExtFP353	ExtFP386	ExtFP393	ExtFP406	ExtFP409	ExtFP433	ExtFP439	ExtFP442	ExtFP458	ExtFP466	ExtFP468	ExtFP472	ExtFP474	ExtFP486	ExtFP511	ExtFP520	ExtFP551	ExtFP554	ExtFP562	ExtFP564	ExtFP581	ExtFP594	ExtFP598	ExtFP607	ExtFP611	ExtFP657	ExtFP658	ExtFP660	ExtFP681	ExtFP689	ExtFP698	ExtFP723	ExtFP738	ExtFP765	ExtFP776	ExtFP783	ExtFP788	ExtFP789	ExtFP807	ExtFP822	ExtFP828	ExtFP833	ExtFP862	ExtFP864	ExtFP882	ExtFP903	ExtFP914	ExtFP915	ExtFP929	ExtFP944	ExtFP990	ExtFP1011	ExtFP1014	ExtFP1016	EStateFP16	EStateFP18	EStateFP35	MACCSFP16	MACCSFP66	MACCSFP81	MACCSFP89	MACCSFP109	MACCSFP122	MACCSFP130	MACCSFP131	MACCSFP136	MACCSFP146	MACCSFP160	PubchemFP2	PubchemFP12	PubchemFP14	PubchemFP15	PubchemFP19	PubchemFP20	PubchemFP186	PubchemFP341	PubchemFP343	PubchemFP389	PubchemFP393	PubchemFP395	PubchemFP440	PubchemFP443	PubchemFP546	PubchemFP576	PubchemFP698	PubchemFP704	PubchemFP794	PubchemFP818	SubFP12	SubFP85	SubFP88	SubFP96	SubFP295	SubFP296	SubFP301	KRFP92	KRFP298	KRFP466	KRFP504	KRFP647	KRFP1642	KRFP2262	KRFP2595	KRFP2667	KRFP2855	KRFP3058	KRFP3455	KRFP3682	KRFP3782	KRFP3959	KRFP4237	AD2D13	AD2D14	AD2D102	AD2D103	AD2D135	AD2D156	AD2D161	AD2D170	AD2D184	AD2D248	AD2D326	AD2D336	AD2D394	AD2D414	AD2D547	AD2D549	AD2D631	AD2D636	AD2D714	HenryConstant	CASNumber	Training-Test
0	0	1	1	0	1	0	0	0	1	0	0	1	1	0	1	1	0	0	1	1	1	0	0	0	0	1	1	0	0	1	0	1	0	1	0	1	1	1	1	0	0	1	0	1	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	1	0	1	1	0	1	1	1	0	1	1	1	1	0	1	0	1	1	1	0	1	1	1	0	0	1	1	1	1	0	0	0	1	1	0	1	1	1	0	1	1	0	0	0	1	1	0	1	0	1	0	0	1	0	1	0	0	1	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	1	1	1	1	1	1	1	-17.00	147150-35-4	Training
0	1	0	1	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	1	1	0	0	0	0	1	1	1	0	1	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	1	1	0	1	0	0	1	1	0	1	1	0	1	0	1	1	0	1	1	0	0	1	1	1	1	1	0	0	1	1	1	1	0	0	0	1	1	0	1	1	0	0	1	1	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	-15.90	074223-64-6	Training
0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	1	1	0	1	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	1	1	0	0	0	0	0	0	1	1	1	0	1	0	0	1	1	0	1	1	0	1	0	1	1	0	1	1	0	0	1	1	1	1	1	0	0	1	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	1	1	1	1	1	1	-15.50	064902-72-3	Training
0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	1	0	1	0	0	0	0	1	1	0	0	1	1	0	1	0	0	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	-15.40	000145-73-3	Training
1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	1	1	0	1	0	1	1	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	-15.20	000060-00-4	Training
1	1	0	1	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	1	1	0	1	1	0	0	1	0	0	0	1	1	0	0	0	1	0	1	0	1	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	1	1	1	0	1	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	-14.80	138261-41-3	Training
0	1	0	1	0	0	0	0	0	1	1	0	1	0	1	0	1	0	0	0	0	1	0	0	0	1	1	1	0	0	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	1	1	0	1	0	0	1	1	1	1	1	0	1	0	1	1	0	1	1	1	0	1	1	1	1	1	0	0	1	1	1	1	0	0	0	1	1	0	1	1	1	0	1	1	0	0	0	1	1	0	1	0	1	0	0	1	0	1	0	0	1	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	-14.70	090982-32-4	Training
0	1	0	1	1	0	0	0	1	1	1	0	1	0	1	0	1	0	0	1	0	1	0	0	0	0	1	1	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	1	0	0	0	1	0	1	0	1	1	0	1	1	1	1	1	0	1	0	1	1	0	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	0	1	1	1	0	1	1	0	1	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	1	1	1	0	0	0	-14.40	083055-99-6	Training
1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-14.10	000073-24-5	Training
0	0	1	0	0	1	1	1	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	1	0	0	1	0	1	0	0	1	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	1	0	0	0	1	1	1	1	0	1	0	1	1	0	1	1	0	0	1	1	1	1	0	0	1	1	1	1	1	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	1	1	0	1	1	1	1	1	-14.10	003567-25-7	Training
