ExtFP132	ExtFP159	ExtFP204	ExtFP248	ExtFP254	ExtFP395	ExtFP396	ExtFP538	ExtFP539	ExtFP558	ExtFP615	ExtFP629	ExtFP770	ExtFP877	ExtFP910	ExtFP959	ExtFP966	ExtFP978	MACCSFP91	MACCSFP129	MACCSFP141	MACCSFP166	PubchemFP24	PubchemFP193	KRFP297	KRFP1146	KRFP2308	KRFP3395	AD2D559	AD2D636	LogKidney	Training-Test	Name
0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.11	Training	5-methyl-5-ethyl barbituric acid
0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0.44	Training	5-butyl-5-ethyl barbituric acid
0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0.36	Training	5-pentyl-5-ethyl barbituric acid
0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0.37	Training	5-hexyl-5-ethyl barbituric acid
0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0.31	Training	5-heptyl-5-ethyl barbituric acid
0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0.40	Training	5-octyl-5-ethyl barbituric acid
0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0.45	Training	5-nonyl-5-ethyl barbituric acid
0	1	1	1	0	1	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0.44	Training	Cefazolin
1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0.68	Training	Ceftazidime
0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0.84	Training	Dideoxyinosine
0	0	0	0	1	1	0	0	1	1	1	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0.18	Training	Hexobarbital
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0.57	Training	Penicillin V
1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.20	Training	Phenytoin
0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	-0.35	Training	Salicylic acid
0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0.49	Training	Thiopental
0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-0.66	Training	Tolbutamide
0	0	0	0	1	0	0	1	1	0	0	0	1	0	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1.51	Training	Acebutolol-S
0	0	0	0	0	0	0	1	1	0	1	0	1	1	0	0	0	1	0	1	1	0	0	0	1	0	0	0	1	0	-0.09	Training	Alfentanil
0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1.74	Training	Betaxolol-S
0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1.39	Training	Bisoprolol-S
0	0	0	0	1	0	1	0	0	0	1	1	0	1	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	-0.03	Training	Caffeine
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	1	0	0	0	1	0	0.85	Training	Carvedilol-S
0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.43	Training	Chlordiazepoxide
0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1.12	Training	Cocaine
0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1.08	Training	Fentanyl
0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1.77	Training	Imipramine
0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1.76	Training	Inaperisone
0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0.84	Training	Lidocaine
0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1.43	Training	Metoprolol-S
0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.58	Training	Midazolam
0	0	0	1	1	1	0	1	0	0	0	0	1	1	0	1	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0.98	Training	Morphine
0	0	1	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1.33	Training	Nicotine
0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1.25	Training	Oxeprenolol-S
