ExtFP45	ExtFP125	ExtFP172	ExtFP201	ExtFP239	ExtFP271	ExtFP277	ExtFP364	ExtFP396	ExtFP509	ExtFP648	ExtFP760	ExtFP910	ExtFP951	MACCSFP108	MACCSFP129	MACCSFP141	PubchemFP3	PubchemFP336	KRFP297	KRFP669	KRFP1156	KRFP2308	KRFP3649	AD2D393	LogLiver	Training/Test	Name
0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	-1.52	Training	Ceftazidime
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.64	Training	Salicylic acid
0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	1	1	-0.60	Training	Penicillin V
1	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	-0.52	Training	Tolbutamide
1	0	0	0	1	1	1	0	0	0	1	0	0	0	1	1	0	0	1	1	1	0	0	1	1	-0.43	Training	JNJ28/Sufentanil
1	0	0	1	0	0	0	1	0	0	1	1	1	0	0	1	0	0	0	1	0	0	0	0	1	-0.41	Training	Ftorafur
1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	1	-0.24	Training	Nalidixic acid
1	0	1	0	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0	1	1	0	1	0	1	-0.19	Training	Cotinine
0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	1	-0.11	Training	Dideoxyinosine
0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	-0.11	Training	Cefazolin
0	0	1	0	0	1	0	1	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1	-0.07	Training	Tenoxicam
0	0	1	0	0	1	1	0	0	0	1	1	0	0	1	1	1	1	1	1	1	0	0	1	1	0.00	Training	Alfentanil
0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0.04	Training	5-ethyl-5-ethyl barbituric acid
